
> agentic-creative-operating-environment@1.0.0 typecheck
> tsc --noEmit

backend/app/vendor/veo_ai_design_workforce/creative-os/orchestrator.ts(176,53): error TS2339: Property 'type' does not exist on type 'VisualVariant'.
tech_leader_videoflow_upgrade/packages/videoflow/src/renderer-browser/layers/RuntimeMediaLayer.ts(9,41): error TS2307: Cannot find module '@videoflow/core/types' or its corresponding type declarations.
tech_leader_videoflow_upgrade/packages/videoflow/src/renderer-browser/layers/RuntimeMediaLayer.ts(10,46): error TS2307: Cannot find module '@videoflow/core' or its corresponding type declarations.
tech_leader_videoflow_upgrade/packages/videoflow/src/renderer-browser/layers/RuntimeTextLayer.ts(7,41): error TS2307: Cannot find module '@videoflow/core/types' or its corresponding type declarations.
tech_leader_videoflow_upgrade/packages/videoflow/src/renderer-browser/layers/RuntimeTextualLayer.ts(14,41): error TS2307: Cannot find module '@videoflow/core/types' or its corresponding type declarations.
tech_leader_videoflow_upgrade/packages/videoflow/src/renderer-browser/layers/RuntimeVideoLayer.ts(25,29): error TS2307: Cannot find module '@videoflow/core' or its corresponding type declarations.
tech_leader_videoflow_upgrade/packages/videoflow/src/renderer-browser/layers/RuntimeVideoLayer.ts(64,4): error TS2322: Type 'any[]' is not assignable to type '[number, number]'.
  Target requires 2 element(s) but source may have fewer.
tech_leader_videoflow_upgrade/packages/videoflow/src/renderer-browser/layers/RuntimeVisualLayer.ts(13,41): error TS2307: Cannot find module '@videoflow/core/types' or its corresponding type declarations.
tech_leader_videoflow_upgrade/packages/videoflow/src/renderer-browser/layers/index.ts(8,32): error TS2307: Cannot find module '@videoflow/core/types' or its corresponding type declarations.
tech_leader_videoflow_upgrade/packages/videoflow/src/renderer-browser/transitions.ts(33,29): error TS2307: Cannot find module '@videoflow/core/types' or its corresponding type declarations.
tech_leader_videoflow_upgrade/packages/videoflow/src/renderer-dom/DomRenderer.ts(25,93): error TS2307: Cannot find module '@videoflow/core/types' or its corresponding type declarations.
tech_leader_videoflow_upgrade/packages/videoflow/src/renderer-dom/DomRenderer.ts(26,34): error TS2307: Cannot find module '@videoflow/core/utils' or its corresponding type declarations.
tech_leader_videoflow_upgrade/packages/videoflow/src/renderer-dom/DomRenderer.ts(43,8): error TS2307: Cannot find module '@videoflow/renderer-browser' or its corresponding type declarations.
tech_leader_videoflow_upgrade/packages/videoflow/src/renderer-dom/DomRenderer.ts(46,8): error TS2307: Cannot find module '@videoflow/core' or its corresponding type declarations.
tech_leader_videoflow_upgrade/packages/videoflow/src/renderer-dom/DomRenderer.ts(240,43): error TS7006: Parameter 'layerJSON' implicitly has an 'any' type.
tech_leader_videoflow_upgrade/packages/videoflow/src/renderer-dom/DomRenderer.ts(250,25): error TS7006: Parameter 'layer' implicitly has an 'any' type.
tech_leader_videoflow_upgrade/packages/videoflow/src/renderer-dom/DomRenderer.ts(314,43): error TS7006: Parameter 'l' implicitly has an 'any' type.
tech_leader_videoflow_upgrade/packages/videoflow/src/renderer-dom/DomRenderer.ts(583,53): error TS7006: Parameter 'l' implicitly has an 'any' type.
tech_leader_videoflow_upgrade/packages/videoflow/src/renderer-dom/DomRenderer.ts(769,20): error TS7006: Parameter 'l' implicitly has an 'any' type.
tech_leader_videoflow_upgrade/packages/videoflow/src/renderer-dom/DomRenderer.ts(1302,6): error TS7006: Parameter 'layer' implicitly has an 'any' type.
tech_leader_videoflow_upgrade/packages/videoflow/src/renderer-dom/renderer.css.ts(7,54): error TS2307: Cannot find module '@videoflow/renderer-browser' or its corresponding type declarations.
tech_leader_videoflow_upgrade/packages/videoflow/src/renderer-server/ServerRenderer.ts(28,72): error TS2307: Cannot find module 'playwright' or its corresponding type declarations.
tech_leader_videoflow_upgrade/packages/videoflow/src/renderer-server/ServerRenderer.ts(35,47): error TS2307: Cannot find module '@videoflow/core' or its corresponding type declarations.
tech_leader_videoflow_upgrade/packages/videoflow/src/renderer-server/ServerRenderer.ts(36,35): error TS2307: Cannot find module '@videoflow/core' or its corresponding type declarations.
tech_leader_videoflow_upgrade/packages/videoflow/src/renderer-server/ServerRenderer.ts(285,27): error TS7006: Parameter 'msg' implicitly has an 'any' type.
tech_leader_videoflow_upgrade/packages/videoflow/src/renderer-server/ServerRenderer.ts(297,29): error TS7006: Parameter 'error' implicitly has an 'any' type.
tech_leader_videoflow_upgrade/packages/videoflow/src/renderer-server/ServerRenderer.ts(338,40): error TS7006: Parameter 'route' implicitly has an 'any' type.
tech_leader_videoflow_upgrade/packages/videoflow/src/renderer-server/ServerRenderer.ts(412,6): error TS2322: Type 'unknown' is not assignable to type 'string'.
tech_leader_videoflow_upgrade/packages/videoflow/src/renderer-server/renderer-page-script.ts(26,33): error TS2307: Cannot find module '@videoflow/renderer-browser' or its corresponding type declarations.
tech_leader_videoflow_upgrade/packages/videoflow/src/renderer-server/renderer-page-script.ts(27,34): error TS2307: Cannot find module '@videoflow/core/utils' or its corresponding type declarations.
tests/runtime-guards-regression.test.ts(5,10): error TS2305: Module '"../services/providerRouter"' has no exported member 'normalizeProviderName'.
